Tên địa điểm,Mô tả,Tỉnh thành,Thể loại,Link google map,ID Ảnh URL địa điểm
Đền Ngọc Sơn,"Đền Ngọc Sơn là một di tích văn hóa – lịch sử nổi tiếng nằm trên đảo Ngọc trong hồ Hoàn Kiếm, Hà Nội. Được xây dựng vào thế kỷ 19, đền là nơi thờ các danh nhân văn hóa như Trần Hưng Đạo – vị tướng tài ba trong lịch sử Việt Nam, cùng Văn Xương Đế Quân – vị thần chủ văn chương. Đền Ngọc Sơn có kiến trúc hài hòa giữa yếu tố truyền thống và thiên nhiên, nổi bật với cầu Thê Húc sơn đỏ, Tháp Bút và Đài Nghiên. Đây không chỉ là nơi linh thiêng cho người dân đến dâng hương, cầu may, mà còn là điểm đến không thể bỏ qua đối với khách du lịch trong và ngoài nước khi ghé thăm Hà Nội.",Hà Nội,"Di tích lịch sử, Đền, Công trình kiến trúc, Địa điểm nổi tiếng, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/%C4%90%E1%BB%81n+Ng%E1%BB%8Dc+S%C6%A1n/@21.0311672,105.8488602,16.75z/data=!4m6!3m5!1s0x3135abc000809ea7:0xbb2716ec0282371d!8m2!3d21.0306883!4d105.8523861!16s%2Fm%2F0gtxhmt?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1ARCWW7cULvE5xWsUgpgBfRjnIry5hLeB
Phố Cổ Hà Nội,"Phố Cổ Hà Nội là một trong những khu phố lâu đời và đặc sắc nhất tại thủ đô, nằm ở quận Hoàn Kiếm. Khu vực này nổi bật với khoảng 36 phố phường, mỗi phố gắn liền với một nghề thủ công truyền thống như Hàng Mã, Hàng Đào, Hàng Bạc... Với lối kiến trúc cổ kính kiểu Pháp xen lẫn nhà ống truyền thống, cùng các ngõ nhỏ, phố hẹp đông đúc, Phố Cổ Hà Nội là nơi lưu giữ hơi thở của Hà Nội xưa. Đây là điểm đến lý tưởng để du khách khám phá văn hóa, ẩm thực đường phố đặc sắc, mua sắm thủ công mỹ nghệ và trải nghiệm cuộc sống thường nhật của người dân bản địa.",Hà Nội,"Danh lam thắng cảnh, Di tích lịch sử, Khu phố cổ, Phố đi bộ, Điểm chụp ảnh đẹp, Mua sắm, Ẩm thực, Chợ truyền thống, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/Khu+Ph%E1%BB%91+C%E1%BB%95+H%C3%A0+N%E1%BB%99i/@21.0343136,105.8491333,17.75z/data=!4m15!1m8!3m7!1s0x3135abbf21b895f7:0x641bc6c48732c7a4!2zUGjhu5EgY-G7lSBIw6AgTuG7mWksIEhvw6BuIEtp4bq_bSwgSMOgIE7hu5lpLCBWaeG7h3QgTmFt!3b1!8m2!3d21.0352664!4d105.8500124!16s%2Fg%2F11stdqkgnr!3m5!1s0x3135abbe12384aa7:0x595317f27fe2548e!8m2!3d21.034059!4d105.8506368!16s%2Fg%2F11b8tc18h5?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1A8PoU3AQtIFXqQEfZRFs8E9TdESf4Epm
Lăng Chủ tịch Hồ Chí Minh,"Lăng Chủ tịch Hồ Chí Minh là nơi an nghỉ của Chủ tịch Hồ Chí Minh – vị lãnh tụ vĩ đại của dân tộc Việt Nam. Tọa lạc tại Quảng trường Ba Đình, Hà Nội, lăng được xây dựng từ năm 1973 và hoàn thành năm 1975. Công trình mang kiến trúc trang nghiêm, kết hợp giữa phong cách Việt Nam truyền thống và hiện đại. Bên trong là thi hài của Bác Hồ được gìn giữ trang trọng. Đây không chỉ là điểm đến lịch sử linh thiêng, mà còn là nơi để người dân và du khách trong và ngoài nước bày tỏ lòng kính trọng đối với Người.",Hà Nội,"Di tích lịch sử, Địa điểm nổi tiếng, Công trình kiến trúc, Đài tưởng niệm, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/L%C4%83ng+Ch%E1%BB%A7+t%E1%BB%8Bch+H%E1%BB%93+Ch%C3%AD+Minh/@21.0369023,105.8320918,17z/data=!3m1!4b1!4m6!3m5!1s0x3135aba15ec15d17:0x620e85c2cfe14d4c!8m2!3d21.0368973!4d105.8346667!16s%2Fm%2F02xbhg7?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1WIm38PbzPe_lZTCUHrNJ4YcxcvY96Ge8
Nhà hát Lớn Hà Nội,"Nhà hát Lớn Hà Nội là một công trình kiến trúc mang phong cách Pháp cổ điển, được xây dựng từ đầu thế kỷ 20. Đây là nơi tổ chức các buổi biểu diễn nghệ thuật lớn, từ hòa nhạc cổ điển đến vở kịch truyền thống, và cũng là điểm check-in nổi bật tại trung tâm thủ đô.",Hà Nội,"Công trình kiến trúc, Địa điểm nổi tiếng, Điểm chụp ảnh đẹp","https://www.google.com/maps/place/Nh%C3%A0+h%C3%A1t+L%E1%BB%9Bn+H%C3%A0+N%E1%BB%99i/@21.0242438,105.8550505,17z/data=!3m1!4b1!4m6!3m5!1s0x3135abebf87e0011:0x647af200da508d2b!8m2!3d21.0242438!4d105.8576254!16s%2Fm%2F02pxggv?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1G74Zc5nKaKgcSFbL8n6cNfODYZu5wbeF
Nhà tù Hỏa Lò,"Nhà tù Hỏa Lò là một di tích lịch sử quan trọng của Hà Nội, từng là nơi giam giữ những chiến sĩ cách mạng trong thời kỳ Pháp thuộc. Ngày nay, nơi đây được bảo tồn như một bảo tàng sống động, phản ánh lịch sử đấu tranh của dân tộc.",Hà Nội,"Di tích lịch sử, Bảo tàng, Địa điểm nổi tiếng","https://www.google.com/maps/place/Di+t%C3%ADch+Nh%C3%A0+t%C3%B9+H%E1%BB%8Fa+L%C3%B2/@21.0253297,105.8439032,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab96aa51de95:0x9701e10bee31af54!8m2!3d21.0253297!4d105.8464781!16zL20vMG45d3A?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1cvwbhZ2dfeAuXwMNWjAqi8461ifHA8G0
Cột cờ Hà Nội,"Cột cờ Hà Nội là một trong những biểu tượng lịch sử của Thủ đô, được xây dựng từ thời nhà Nguyễn và vẫn đứng vững cho đến ngày nay. Tọa lạc trong khuôn viên Bảo tàng Lịch sử Quân sự Việt Nam, cột cờ là điểm đến hấp dẫn cho du khách yêu lịch sử.",Hà Nội,"Di tích lịch sử, Công trình kiến trúc","https://www.google.com/maps/place/C%E1%BB%99t+c%E1%BB%9D+H%C3%A0+N%E1%BB%99i/@21.0325556,105.837229,17z/data=!3m1!4b1!4m6!3m5!1s0x3135aba2ba5b95c5:0xb86cf11749978de0!8m2!3d21.0325556!4d105.8398039!16zL20vMGY0cXQ4?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1v_EWXXDv7STwsPuze8isiIHSI8V23a41
Bãi đá Sông Hồng,"Bãi đá Sông Hồng là địa điểm chụp ảnh ngoài trời nổi tiếng, thu hút giới trẻ và các cặp đôi với khung cảnh thiên nhiên thơ mộng, đặc biệt là vào mùa hoa nở. Nơi đây còn phù hợp để picnic và dã ngoại cuối tuần.",Hà Nội,"Thiên nhiên, Điểm ngắm cảnh tự nhiên, Điểm chụp ảnh đẹp, Picnic","https://www.google.com/maps/place/B%C3%A3i+%C4%90%C3%A1+S%C3%B4ng+H%C3%B4%CC%80ng/@21.078522,105.8326919,17z/data=!3m1!4b1!4m6!3m5!1s0x3135aa6755e18ac1:0xc76a4044f61ea958!8m2!3d21.078522!4d105.8352668!16s%2Fg%2F11c2lqx4zp?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1x9h9zuLAC-oAWl52GWJ80pVDHu3ncdtH
Vườn quốc gia Ba Vì,"Cách trung tâm Hà Nội khoảng 60km, Vườn quốc gia Ba Vì sở hữu hệ sinh thái phong phú và không khí trong lành, rất lý tưởng cho các hoạt động như cắm trại, đi bộ đường dài hay khám phá rừng núi. Đây là điểm đến yêu thích của những ai yêu thiên nhiên và muốn ""đổi gió"" cuối tuần.",Hà Nội,"Vườn quốc gia, Núi, Thiên nhiên, Đi bộ đường dài, Cắm trại","https://www.google.com/maps/search/V%C6%B0%E1%BB%9Dn+qu%E1%BB%91c+gia+Ba+V%C3%AC/@21.0886334,105.3412564,13z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1tFgJ78VX3b0o9iTeWxuVpx264jwfxFC-
Bãi biển Đồ Sơn,"Bãi biển Đồ Sơn nổi tiếng với bãi cát mịn, nước biển trong xanh và không khí trong lành. Khu vực này được chia thành ba khu vực chính, thu hút du khách đến tắm biển, thưởng thức hải sản và tham gia các hoạt động vui chơi giải trí.​",Hải Phòng,"Biển, Địa điểm nổi tiếng","https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+%C4%90%E1%BB%93+S%C6%A1n/@20.6872755,106.7748797,14z/data=!3m1!4b1!4m6!3m5!1s0x314a6c608b8feabd:0x5bf0cbf27e7679c2!8m2!3d20.6872771!4d106.7954793!16s%2Fg%2F11bzx1207y?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1hI_UpBg1QrFkFdEZmuMhH0DReoZbiE4Z
Vịnh Lan Hạ,"Nằm ở phía nam của Vịnh Hạ Long, Vịnh Lan Hạ sở hữu vẻ đẹp hoang sơ với hàng trăm đảo đá vôi và bãi biển cát trắng. Du khách có thể tham gia các hoạt động như chèo thuyền kayak, lặn biển và khám phá các hang động.​",Hải Phòng,"Vịnh, Điểm ngắm cảnh tự nhiên, Chèo thuyền","https://www.google.com/maps/place/V%E1%BB%8Bnh+Lan+H%E1%BA%A1/@20.7534697,106.9806998,12.5z/data=!4m6!3m5!1s0x314a45b5d29a9b11:0x4dd4f928dad786a9!8m2!3d20.7237207!4d107.0465615!16s%2Fg%2F1q6h_dd_h?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1FYf4ki8IFIIqma5gU_GRdNRqYAPTMj3b
Đảo Cát Bà,"Đảo Cát Bà là điểm đến lý tưởng với rừng quốc gia, bãi biển đẹp và hệ sinh thái đa dạng. Nơi đây còn được UNESCO công nhận là Khu dự trữ sinh quyển thế giới.",Hải Phòng,"Đảo, Vườn quốc gia, Điểm ngắm cảnh tự nhiên","https://www.google.com/maps/place/Qu%E1%BA%A7n+%C4%91%E1%BA%A3o+C%C3%A1t+B%C3%A0/@20.7941136,106.9056645,12.75z/data=!4m6!3m5!1s0x314a4295092717df:0x888e31f9d9d83537!8m2!3d20.7836978!4d106.9332147!16s%2Fg%2F11bc5tw0my?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1Kpuz8GaH1QpByOjG_VKq0XFyRJdc043m
Đảo Hòn Dấu,Đảo Hòn Dấu mang vẻ đẹp hoang sơ với rừng nguyên sinh và ngọn hải đăng cổ kính. Đây là nơi lý tưởng để cắm trại và tận hưởng không gian yên bình.​,Hải Phòng,"Đảo, Điểm ngắm cảnh tự nhiên, Cắm trại","https://www.google.com/maps/place/H%C3%B2n+D%C3%A1u/@20.6671193,106.8106216,16z/data=!3m1!4b1!4m6!3m5!1s0x314a6c9dba9ecabd:0x376490d075d927a6!8m2!3d20.6669073!4d106.8156254!16s%2Fg%2F122t69sh?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1PCd2BfzlTkNIk_9H03iUVYxf6BE6gBwm
Đảo Bạch Long Vĩ,"Là hòn đảo xa nhất trong Vịnh Bắc Bộ, Bạch Long Vĩ nổi bật với ngọn hải đăng cao và cảnh quan biển tuyệt đẹp. Đảo còn là nơi sinh sống của nhiều loài động thực vật quý hiếm.​",Hải Phòng,"Đảo, Điểm ngắm cảnh tự nhiên","https://www.google.com/maps/place/%C4%90%E1%BA%A3o+B%E1%BA%A1ch+Long+V%C4%A9/@20.1350878,107.7074711,14z/data=!3m1!4b1!4m6!3m5!1s0x31495f03831b0d03:0x38858c51605760d7!8m2!3d20.1311435!4d107.7310526!16zL20vMGNnNHRm?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1aHCBJVmgtHgkI8ggaxP2vB9e5NMj5gkc
Bảo tàng Hải Phòng,"Bảo tàng Hải Phòng lưu giữ nhiều hiện vật và tài liệu quý giá, phản ánh lịch sử và văn hóa của thành phố cảng. Kiến trúc của bảo tàng cũng là điểm nhấn thu hút du khách.​",Hải Phòng,"Bảo tàng, Di tích lịch sử, Công trình kiến trúc","https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+H%E1%BA%A3i+Ph%C3%B2ng/@20.8618161,106.6801292,17z/data=!3m1!4b1!4m6!3m5!1s0x314a7af3f0742f19:0xa4466af30bedbb1!8m2!3d20.8618161!4d106.6827041!16s%2Fg%2F1tl8h5s_?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1MdjjBCjxHaYmvTeFxMwfwqS5uYuWx3_W
Tháp Tường Long,"Tháp Tường Long là một công trình kiến trúc cổ nằm trên đỉnh núi Đồ Sơn, từ đây có thể ngắm toàn cảnh biển cả. Tháp mang đậm dấu ấn lịch sử và văn hóa Phật giáo.",Hải Phòng,"Di tích lịch sử, Công trình kiến trúc, Điểm ngắm cảnh tự nhiên","https://www.google.com/maps/place/Ch%C3%B9a+Th%C3%A1p+T%C6%B0%E1%BB%9Dng+Long/@20.7140383,106.7676131,17z/data=!3m1!4b1!4m6!3m5!1s0x314a6d00701474bb:0x6dc99f39a1595f7!8m2!3d20.7140383!4d106.770188!16s%2Fg%2F11vqmc5mnq?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1w1Sj8XhLl07KEVCY5UlZD_fy8u36-skj
Khu di tích Trạng Trình Nguyễn Bỉnh Khiêm,"Khu di tích này là nơi tưởng niệm và tôn vinh Trạng Trình Nguyễn Bỉnh Khiêm, nhà thơ, nhà tiên tri nổi tiếng của Việt Nam. Khuôn viên rộng rãi, yên tĩnh, thích hợp cho việc tìm hiểu lịch sử và thư giãn.​",Hải Phòng,"Di tích lịch sử, Đền, Điểm ngắm cảnh tự nhiên","https://www.google.com/maps/place/%C4%90%E1%BB%81n+Tr%E1%BA%A1ng+Tr%C3%ACnh+Nguy%E1%BB%85n+B%E1%BB%89nh+Khi%C3%AAm/@20.6609424,106.5287461,17z/data=!3m1!4b1!4m6!3m5!1s0x3135f54d870a520b:0x47aa5be7a24d2bf!8m2!3d20.6609424!4d106.531321!16s%2Fg%2F11rrqdqy60?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1r1VvW4PR2eTKNu3AKAE_aaF19vFFA3-Q
Núi Voi,"Núi Voi là điểm đến hấp dẫn với cảnh quan thiên nhiên hùng vĩ, hang động kỳ thú và hệ động thực vật phong phú. Du khách có thể leo núi, khám phá hang động và tận hưởng không khí trong lành.​",Hải Phòng,"Núi, Điểm ngắm cảnh tự nhiên, Đi bộ đường dài","https://www.google.com/maps/place/N%C3%BAi+Voi,+An+L%C3%A3o/@20.8333317,106.5627337,14z/data=!3m1!4b1!4m6!3m5!1s0x314a777815db4471:0x6d75fa23b1ed6b76!8m2!3d20.8333333!4d106.5833333!16s%2Fg%2F11c3ymv_ww?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1tZxb02t_eYzFY0kwTRX4q9unnpJoJmlN
Tuyệt Tình Cốc Hải Phòng,"Tuyệt Tình Cốc là hồ nước xanh ngọc bích nằm giữa núi đá vôi, tạo nên khung cảnh thơ mộng và huyền bí. Đây là địa điểm lý tưởng cho những ai yêu thích chụp ảnh và khám phá thiên nhiên.​",Hải Phòng,"Hồ, Điểm ngắm cảnh tự nhiên, Điểm chụp ảnh đẹp","https://www.google.com/maps/place/Tuy%E1%BB%87t+T%C3%ACnh+C%E1%BB%91c,+H%E1%BA%A3i+Ph%C3%B2ng/@20.9996258,106.5686539,17z/data=!3m1!4b1!4m6!3m5!1s0x314a7fb0bde961f7:0x638eeb7a364a0a1d!8m2!3d20.9996258!4d106.5712288!16s%2Fg%2F11gg91803r?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1WclcImE4omXHWuKPWbBY5_11f1QIAhmQ
Khu du lịch sinh thái rừng ngập mặn xã Đại Hợp,"Khu du lịch sinh thái này nổi bật với hệ sinh thái rừng ngập mặn đa dạng, là nơi sinh sống của nhiều loài chim và động vật quý hiếm. Du khách có thể tham gia các hoạt động như chèo thuyền, câu cá và thưởng thức đặc sản địa phương.​",Hải Phòng,"Khu bảo tồn, Điểm ngắm cảnh tự nhiên, Chèo thuyền","https://www.google.com/maps/place/Sinh+th%C3%A1i+H%C3%B2a+L%E1%BB%99c/@20.671825,106.7009511,17z/data=!3m1!4b1!4m6!3m5!1s0x314a7343638999f9:0xa56923adaba5a6d6!8m2!3d20.671825!4d106.703526!16s%2Fg%2F11p5lxvg35?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1ayIK5FobMMCGJesC-aPga11h4JLB0ctM
Bạch Đằng Giang,"Di tích lịch sử gắn liền với chiến thắng Bạch Đằng năm 1288, nơi ghi dấu ấn lịch sử dân tộc.​",Hải Phòng,"Di tích lịch sử, Địa điểm nổi tiếng","https://www.google.com/maps/place/S%C3%B4ng+%C4%90%C3%A1+B%E1%BA%A1ch/@20.9372595,106.535085,11z/data=!3m1!4b1!4m6!3m5!1s0x314a648710f8d77b:0x7007cb1692297386!8m2!3d20.9985039!4d106.7061054!16s%2Fm%2F04f47v9?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1ndKOKoYhqRc7Ys7V8afRfE0l-AT2iVz3
Biệt thự Bảo Đại,"Dinh thự duy nhất của vua Bảo Đại ở miền Bắc, mang kiến trúc độc đáo và giá trị lịch sử.​",Hải Phòng,"Công trình kiến trúc, Di tích lịch sử","https://www.google.com/maps/search/Bi%E1%BB%87t+th%E1%BB%B1+B%E1%BA%A3o+%C4%90%E1%BA%A1i/@20.7592253,106.6750408,12z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1MRT-z0--e5jqRo_YyAlhB4ceiTY8x2SF
Cây đa 13 gốc,"Với hơn 300 năm tuổi, cây đa Mười Ba Gốc là di sản thiên nhiên quý giá, gắn liền với truyền thuyết về Đức Thổ Vương và là điểm đến tâm linh độc đáo.​",Hải Phòng,"Danh lam thắng cảnh, Địa điểm tham quan miễn phí","https://www.google.com/maps/search/C%C3%A2y+%C4%91a+13+g%E1%BB%91c/@20.8403844,106.7042701,20.75z?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1RJA-mYKV7fEVSPDQKzr2hNW7BQjzfVPn
Đồi Thiên Văn,"Tọa lạc tại quận Kiến An, đồi Thiên Văn không chỉ là nơi nghiên cứu khí tượng mà còn là điểm đến lý tưởng để ngắm toàn cảnh thành phố và thư giãn giữa thiên nhiên.​",Hải Phòng,"Thiên nhiên, Đồi, Điểm ngắm cảnh tự nhiên, Đi bộ đường dài","https://www.google.com/maps/place/%C4%90%E1%BB%93i+Thi%C3%AAn+V%C4%83n/@20.8059806,106.6098259,14z/data=!3m1!4b1!4m6!3m5!1s0x314a70cd3fa09335:0xcfee2afd833b9fc2!8m2!3d20.8059822!4d106.6304255!16s%2Fg%2F1v8y1jcf?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1rtxc2C_FPdwUmgc0t06xWH2Iy2xFxTod
Suối nước nóng Tiên Lãng,"Là một trong những mỏ nước khoáng có hàm lượng khoáng chất cao, suối nước nóng Tiên Lãng cung cấp các dịch vụ tắm khoáng, tắm bùn và nghỉ dưỡng, thích hợp cho du lịch chăm sóc sức khỏe.​",Hải Phòng,"Thiên nhiên, Suối, Khu bảo tồn, Khu vui chơi","https://www.google.com/maps/place/Khu+Du+L%E1%BB%8Bch+Su%E1%BB%91i+n%C6%B0%E1%BB%9Bc+kho%C3%A1ng+n%C3%B3ng+Ti%C3%AAn+L%C3%A3ng/@20.7101721,106.5525948,17z/data=!3m1!4b1!4m6!3m5!1s0x314a7597aaaaaaab:0x184494358a56692b!8m2!3d20.7101721!4d106.5551697!16s%2Fg%2F1tgcpbw2?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1wBjEIxV1dVHEc5g89iy2cFulu2fgFh9Q
Chùa Dư Hàng,"Là ngôi chùa cổ kính với kiến trúc truyền thống và nhiều di vật quý, chùa Dư Hàng mang đến không gian thanh tịnh và yên bình cho du khách.",Hải Phòng,"Chùa, Di tích lịch sử, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/Ch%C3%B9a+D%C6%B0+H%C3%A0ng/@20.8475548,106.673486,17z/data=!3m1!4b1!4m6!3m5!1s0x314a7a89ceb8b867:0xeb195301ba321b98!8m2!3d20.8475548!4d106.6760609!16s%2Fg%2F1tctj800?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1sF9KcOHRS9FWuFWLEH_ypRADptFm6l9e
Đền Trần,"Đền Trần là một trong những địa điểm tâm linh nổi bật tại thành phố cảng. Nằm ở phường Lương Khánh Thiện, quận Kiến An, đền được xây dựng để thờ các vị vua nhà Trần – triều đại từng có nhiều công lao giữ nước và phát triển đất nước. Kiến trúc của đền mang đậm phong cách truyền thống với các chi tiết chạm khắc tinh xảo, không gian linh thiêng và cổ kính. Hằng năm, nơi đây tổ chức nhiều hoạt động lễ hội thu hút đông đảo du khách thập phương đến dâng hương và cầu phúc.",Hải Phòng,"Đền, Di tích lịch sử, Lễ hội địa phương","https://www.google.com/maps/place/%C4%90%E1%BB%81n+th%E1%BB%9D+Tr%E1%BA%A1ng+nguy%C3%AAn+Tr%E1%BA%A7n+T%E1%BA%A5t+V%C4%83n/@20.789699,106.3438368,11z/data=!4m10!1m2!2m1!1zxJHhu4FuIHRy4bqnbiBo4bqjaSBwaMOybmc!3m6!1s0x314a76dddf577e69:0xae28695999ae2ee7!8m2!3d20.7896889!4d106.6075046!15sChrEkeG7gW4gdHLhuqduIGjhuqNpIHBow7JuZ5IBEHBsYWNlX29mX3dvcnNoaXDgAQA!16s%2Fg%2F11gbldwr8q?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1-OlNjrd-olPFPW894dLlos-xKWfbj82d
Làng hoa Hạ Lũng,"Làng hoa Hạ Lũng thuộc quận Hải An, Hải Phòng, là một trong những làng nghề truyền thống nổi tiếng với nghề trồng hoa. Vào dịp Tết Nguyên Đán, làng hoa trở nên rực rỡ với đủ loại hoa như cúc, hồng, ly, lay ơn... tạo nên một bức tranh sắc màu sống động. Du khách đến đây không chỉ được chiêm ngưỡng vẻ đẹp của muôn vàn loài hoa mà còn có thể tìm hiểu về nghề trồng hoa truyền thống và chụp những bức ảnh tuyệt đẹp.",Hải Phòng,"Làng nghề truyền thống, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/L%C3%A0ng+hoa+H%E1%BA%A1+L%C5%A9ng,+%C4%90%E1%BA%B1ng+H%E1%BA%A3i,+H%E1%BA%A3i+An,+H%E1%BA%A3i+Ph%C3%B2ng,+Vi%E1%BB%87t+Nam/@20.8405867,106.6951096,14z/data=!3m1!4b1!4m6!3m5!1s0x314a7aae4733b247:0xe8cf356f215c5c86!8m2!3d20.8405883!4d106.7157092!16s%2Fg%2F11c3ymwssr?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1UrLgJuCcJKDMgilROwdeDqsqfo9TKuu9
